date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2016-10-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-10-26,SKIP,no credit-qualified spread candidate,2135.07,14.13,,,,,,0,,,,,,,,11.102
2016-10-27,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-10-28,SKIP,no entry quotes for candidates,2135.79,15.25,,,,,,0,,,,,,,,9.833
2016-10-29,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-10-30,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-10-31,SKIP,no credit-qualified spread candidate,2129.04,16.77,,,,,,0,,,,,,,,8.79
2016-11-01,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-02,ENTER,enter (normal),2108.47,18.93,2016-11-04,2.0,2070.0,2045.0,1.6,12,28080.0,2016-11-02 15:45:00 EDT,1.38,eod_force_close,22.0,264.0,Win,16.585
2016-11-03,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-04,SKIP,no credit-qualified spread candidate,2087.92,22.05,,,,,,0,,,,,,,,11.212
2016-11-05,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-06,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-07,ENTER,enter (normal),2118.08,18.93,2016-11-09,2.0,2035.0,2010.0,2.0,12,27600.0,2016-11-07 16:00:00 EST,0.0,expiry,200.0,2400.0,Win,18.095
2016-11-08,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-09,ENTER,enter (normal),2132.88,15.73,2016-11-11,2.0,2085.0,2060.0,1.95,12,27660.0,2016-11-09 11:15:00 EST,0.97,profit_target,98.0,1176.0,Win,14.964
2016-11-10,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-11,SKIP,no credit-qualified spread candidate,2162.55,15.29,,,,,,0,,,,,,,,11.882
2016-11-12,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-13,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-14,SKIP,no credit-qualified spread candidate,2166.13,15.23,,,,,,0,,,,,,,,8.134
2016-11-15,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-16,SKIP,no credit-qualified spread candidate,2177.57,14.14,,,,,,0,,,,,,,,9.287
2016-11-17,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-18,SKIP,no option definitions for day,2185.92,13.37,,,,,,0,,,,,,,,9.273
2016-11-19,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-20,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-21,SKIP,no credit-qualified spread candidate,2192.03,12.74,,,,,,0,,,,,,,,11.331
2016-11-22,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-11-23,SKIP,no credit-qualified spread candidate,2196.05,12.94,,,,,,0,,,,,,,,14.401
2016-11-24,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
